Portfolio,Observations,Daily Mean Return,Annualized Volatility,Skewness,Excess Kurtosis,Maximum Drawdown,Hist VaR Breaches,Param VaR Breaches,EWMA Breaches,GARCH Breaches,FHS Breaches
2008 Crisis - Concentrated Financials,754,-0.0016084407142780185,0.7972862597127709,-0.12709883420833468,13.367692810952633,-8.034833095064656,46,44,34,34,37
2008 Crisis - Multi-Asset Diverse,754,0.00019766345644893854,0.2501861449816153,-0.034678901103424906,6.300316860192419,-0.6619496246135002,29,31,26,15,29
